Title: List of Buildings in 5-County Region with 100 or more eviction filings since 4/1/2020 (as of 12/30/2023)
Source: Atlanta Region Eviction Tracker - https://metroatlhousing.org/atlanta-region-eviction-tracker

Street,City,Zip,countyFIPS,tractID,Filings in Jan 2020,Filings in Feb 2020,Filings in Mar 2020,Filings in Apr 2020,Filings in May 2020,Filings in Jun 2020,Filings in Jul 2020,Filings in Aug 2020,Filings in Sep 2020,Filings in Oct 2020,Filings in Nov 2020,Filings in Dec 2020,Filings in Jan 2021,Filings in Feb 2021,Filings in Mar 2021,Filings in Apr 2021,Filings in May 2021,Filings in Jun 2021,Filings in Jul 2021,Filings in Aug 2021,Filings in Sep 2021,Filings in Oct 2021,Filings in Nov 2021,Filings in Dec 2021,Filings in Jan 2022,Filings in Feb 2022,Filings in Mar 2022,Filings in Apr 2022,Filings in May 2022,Filings in Jun 2022,Filings in Jul 2022,Filings in Aug 2022,Filings in Sep 2022,Filings in Oct 2022,Filings in Nov 2022,Filings in Dec 2022,Filings in Jan 2023,Filings in Feb 2023,Filings in Mar 2023,Filings in Apr 2023,Filings in May 2023,Filings in Jun 2023,Filings in Jul 2023,Filings in Aug 2023,Filings in Sep 2023,Filings in Oct 2023,Filings in Nov 2023,Filings in Dec 2023,Filings in Jan 2024
"8050 TAYLOR RD","RIVERDALE","30274","063","13063040516",25,31,21,26,22,26,25,24,20,26,17,22,30,15,16,17,15,21,19,0,0,48,31,28,34,16,15,24,28,26,32,35,29,37,26,27,34,43,26,33,28,33,33,11,22,25,16,18,0
"3100 SWEETWATER RD","LAWRENCEVILLE","30044","135","13135050541",32,36,41,0,0,0,0,0,0,9,26,16,22,17,7,5,26,44,28,32,27,27,12,43,26,45,21,38,42,28,38,30,35,31,27,28,27,27,0,32,21,25,28,17,28,17,17,19,0
"1955 BELLS FERRY RD","MARIETTA","30066","067","13067030601",15,43,19,0,0,0,0,0,11,33,23,31,25,22,14,7,14,0,25,28,9,15,9,16,21,19,27,26,19,34,28,21,33,21,1,17,59,9,19,8,27,41,18,25,18,36,22,33,0
"1100 INDIAN TRAIL LILBURN RD","NORCROSS","30093","135","13135050424",28,25,14,0,0,0,0,38,0,22,16,0,24,18,7,13,9,4,16,26,0,25,22,15,17,23,15,20,20,14,38,27,19,24,20,37,19,2,8,25,21,26,14,31,24,17,14,24,0
"1507 PINE DR","COLLEGE PARK","30349","063","13063040204",12,21,16,17,7,12,9,11,9,16,9,8,7,12,6,11,18,15,13,0,0,38,13,21,27,20,9,12,17,23,17,14,19,17,12,12,24,40,12,16,29,16,26,12,13,29,13,11,0
"1805 ROSWELL RD","MARIETTA","30062","067","13067030505",14,20,10,6,0,0,0,0,13,0,3,0,16,10,4,0,0,0,36,25,27,17,0,40,12,15,24,25,24,25,27,20,15,17,18,17,0,30,10,19,18,24,19,21,20,18,18,0,0
"751 N INDIAN CREEK DR","CLARKSTON","30021","089","13089022008",22,18,15,0,0,0,0,0,1,36,18,21,9,0,44,0,25,14,21,17,0,16,14,17,37,13,6,2,19,5,1,0,6,35,16,14,37,28,2,10,22,23,19,3,31,0,17,1,0
"100 CAMELLIA LN","LITHONIA","30058","089","13089023310",22,26,12,0,0,0,0,17,15,10,7,17,12,15,7,5,8,8,12,15,24,11,16,22,13,24,19,11,26,28,0,19,0,16,38,0,0,10,37,0,39,21,30,13,0,44,20,23,0
"4371 GLENWOOD RD","DECATUR","30032","089","13089023506",4,62,15,1,0,0,0,0,0,0,1,0,1,1,3,0,1,21,1,61,8,22,28,7,20,25,15,17,14,27,29,19,0,5,31,7,8,0,2,11,0,0,1,0,0,0,0,0,0
"950 LAKE RIDGE PKWY","RIVERDALE","30296","063","13063040514",28,12,21,0,0,0,0,0,6,12,24,15,12,17,15,6,3,0,0,2,10,16,5,9,22,2,27,25,27,22,25,16,18,21,12,24,17,29,0,34,10,26,19,21,5,26,15,10,0
