price,stNumber,stName,size,beacon,baseFloor,buildingStyle,elevators,rooms,bedrooms,fullBathrooms,halfBathrooms,garage
174000,150,PLEASANT ST,1060,0,4,MID-RISE,1,4,2,1,1,1
337000,7,LEVERETT ST,831,0,1,DECKER,0,4,2,1,0,0
850000,24,EUSTON ST,2246,0,1,ROW-END,0,10,6,3,0,0
516000,417,WASHINGTON ST,1574,0,2,LOW-RISE,0,6,3,2,0,0
145000,150,PLEASANT ST,669,0,4,MID-RISE,1,3,1,1,0,1
962000,135,MASON TER,986,0,1,DECKER,0,7,3,2,1,0
676000,20,CHAPEL ST,1561,0,7,HIGH-RISE,6,6,2,2,0,2
265000,32,JUNIPER ST,822,0,3,LOW-RISE,0,5,2,1,0,0
357500,41,ACKERS AVE,986,0,1,CONVERTED-HOUSE,0,5,2,1,0,0
382000,1731,BEACON ST,947,1,6,HIGH-RISE,2,4,1,1,0,1
391000,70,PARK ST,1201,0,6,HIGH-RISE,4,4,2,2,0,1
564000,103,SEWALL AVE,1083,0,1,CONVERTED-HOUSE,0,4,2,2,0,0
310000,27,ENGLEWOOD AVE,792,0,2,LOW-RISE,0,5,2,1,0,0
573000,33,STANTON RD,1300,0,1,DECKER,0,7,3,2,0,0
548000,1600,BEACON ST,950,1,6,HIGH-RISE,2,4,2,2,0,1
380000,55,SEWALL AVE,908,0,6,MID-RISE,1,4,2,1,1,1
489900,8,HAMILTON RD,1286,0,1,LOW-RISE,0,6,3,2,0,0
410000,26,HOLLY LN,1122,0,2,LOW-RISE,1,6,2,2,0,1
288000,20,CHAPEL ST,876,0,0,HIGH-RISE,6,4,1,2,0,0
549000,168,WINCHESTER ST,1254,0,1,CONVERTED-HOUSE,0,5,3,1,0,0
325000,22,CHESTNUT PL,826,0,6,MID-RISE,2,3,1,1,1,1
348500,50,LONGWOOD AVE,958,0,7,HIGH-RISE,3,3,1,1,1,1
480000,131,SEWALL AVE,1217,0,6,MID-RISE,2,4,2,2,0,1
275000,99,POND AVE,870,0,3,HIGH-RISE,5,3,1,1,0,1
300000,33,POND AVE,870,0,12,HIGH-RISE,5,3,1,1,0,1
475000,28,STANTON RD,1148,0,3,LOW-RISE,0,6,3,1,0,0
390000,91,WALNUT ST,1052,0,3,DECKER,0,5,2,1,0,0
200000,24,JUNIPER ST,638,0,1,LOW-RISE,0,4,1,1,0,0
610000,2,ST PAUL ST,1161,0,1,MID-RISE,2,4,2,2,0,0
330000,1834,BEACON ST,733,1,3,LOW-RISE,0,4,2,1,0,0
730000,52,VERNON ST,2050,0,2,ROW-MIDDLE,0,7,3,2,0,0
250000,20,CHAPEL ST,710,0,0,HIGH-RISE,6,4,1,1,0,0
145000,150,PLEASANT ST,702,0,4,MID-RISE,1,3,1,1,0,1
529900,629,HAMMOND ST,1129,0,3,LOW-RISE,2,4,2,2,0,1
955000,48,CLARK RD,2698,0,1,DUPLEX,0,8,4,4,0,2
312000,20,CHAPEL ST,566,0,2,HIGH-RISE,6,4,1,1,0,0
528000,20,CHAPEL ST,1141,0,3,HIGH-RISE,6,5,2,2,0,0
289000,20,CHAPEL ST,727,0,0,HIGH-RISE,6,4,1,1,0,0
371000,20,CHAPEL ST,791,0,1,HIGH-RISE,6,4,1,1,0,1
348000,50,PARK ST,890,0,4,LOW-RISE,1,3,1,1,0,0
625000,643,CHESTNUT HILL AVE,1623,0,3,DECKER,0,6,3,2,1,0
760000,20,CHAPEL ST,1488,0,6,HIGH-RISE,6,5,2,2,0,2
590000,10,BRADFORD TER,1365,0,2,LOW-RISE,0,6,3,1,1,0
290000,1056,BEACON ST,620,1,3,LOW-RISE,0,3,1,1,0,0
410000,19,WINCHESTER ST,940,0,1,HIGH-RISE,2,5,2,1,0,1
835000,251,ST PAUL ST,2625,0,1,DUPLEX,0,9,6,2,0,1
715000,20,CHAPEL ST,1521,0,5,HIGH-RISE,6,5,2,2,0,2
315000,50,LONGWOOD AVE,776,0,2,HIGH-RISE,3,3,1,1,0,1
595000,367,HARVARD ST,1758,0,2,LOW-RISE,0,6,2,1,0,0
360000,7,FRANKLIN ST,981,0,1,DECKER,0,6,3,1,0,0
540000,16,GARRISON RD,1387,0,1,LOW-RISE,0,5,2,1,0,0
456600,82,BROWNE ST,1455,0,2,ROW-MIDDLE,0,5,2,1,0,0
830000,19,CARLTON ST,1634,0,1,CLUSTER-TYPE,0,6,2,2,1,2
375000,12,WHITE PL,864,0,3,DECKER,0,5,2,1,0,0
925500,1724,BEACON ST,2090,1,2,ROW-MIDDLE,0,5,3,3,0,0
310000,41,WINSLOW RD,690,0,3,CONVERTED-HOUSE,0,3,1,1,0,0
168000,4,ALTON CT,346,0,0,ROW-END,0,1,0,1,0,0
960000,74,GREEN ST,1551,0,2,LOW-RISE,2,5,3,2,1,2
980000,232,SUMMIT AVE,2359,0,2,LOW-RISE,2,6,3,2,1,2
1542500,1140,BEACON ST,2384,1,3,LOW-RISE,2,6,2,2,1,2
777000,100,COLUMBIA ST,2334,0,2,DECKER,0,9,4,1,1,0
644000,28,ALTON PL,1487,0,1,LOW-RISE,0,5,3,3,0,1
264000,119,WINTHROP RD,883,0,0,LOW-RISE,0,3,1,1,0,0
270000,12,DAVIS CT,565,0,2,DECKER,0,2,1,1,0,0
420000,87,MASON TER,1150,0,3,LOW-RISE,0,4,2,2,0,0
366000,455,WASHINGTON ST,995,0,2,LOW-RISE,0,4,2,1,0,0
760000,44,HARRISON ST,1810,0,1,DECKER,0,7,3,2,0,1
383000,1731,BEACON ST,974,1,2,HIGH-RISE,2,4,1,1,0,1
405000,20,CHAPEL ST,832,0,3,HIGH-RISE,6,4,1,1,1,1
