Country,Region,Year,Alcohol_consumption,BMI,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy
Turkiye,Middle East,2015,1.32,27.8,11006,78.53,7.8,0,76.5
Spain,European Union,2015,10.35,26,25742,46.44,9.7,1,82.8
India,Asia,2007,1.57,21.2,1076,1183.21,5,0,65.4
Guyana,South America,2006,5.68,25.3,4146,0.75,7.9,0,67
Israel,Middle East,2012,2.89,27,33995,7.91,12.8,1,81.7
Costa Rica,Central America and Caribbean,2006,4.19,26.4,9110,4.35,7.9,0,78.2
Russian Federation,Rest of Europe,2015,8.06,26.2,9313,144.1,12,0,71.2
Hungary,European Union,2000,12.23,25.9,8971,10.21,10.2,1,71.2
Jordan,Middle East,2001,0.52,27.9,3708,5.22,9.6,0,71.9
Moldova,Rest of Europe,2008,7.72,26.5,2235,2.87,10.9,0,68.7
Brazil,South America,2012,7.12,26.1,9057,199.29,7.3,0,74.2
Malta,European Union,2007,7.47,27.1,19338,0.41,9.9,1,79.8
"Bahamas, The",Central America and Caribbean,2011,9.23,27.6,32027,0.36,11,0,72.3
Ukraine,Rest of Europe,2002,7.13,25.8,1660,48.2,10.5,0,68.3
Switzerland,Rest of Europe,2006,10.24,25,79368,7.48,12.3,1,81.5
Norway,Rest of Europe,2001,5.49,25.7,68489,4.51,12.1,1,78.8
Finland,European Union,2013,9.08,26,43045,5.44,12.3,1,81
Comoros,Africa,2007,0.15,23.5,1166,0.64,3.5,0,60.7
Japan,Asia,2005,7.98,22.6,33099,127.77,11.2,1,81.9
Gabon,Africa,2012,7.47,24.9,7181,1.75,7.8,0,62.9
Ghana,Africa,2011,1.67,23.7,1580,25.39,6.8,0,61.4
Philippines,Asia,2001,4.53,22.3,1847,79.67,7.7,0,68.8
"Congo, Rep.",Africa,2003,0.9,22.3,2072,3.41,5.7,0,53.8
Madagascar,Africa,2011,0.89,21.1,464,21.74,6.1,0,63.8
Estonia,European Union,2004,15.52,25.8,13283,1.36,12,1,71.9
Belize,Central America and Caribbean,2013,6.6,28.7,4667,0.35,10.5,0,73.5
Kazakhstan,Asia,2006,6.76,25.8,7838,15.31,11.7,0,66.2
Cameroon,Africa,2015,4.55,24.3,1383,23.3,6.1,0,57.6
Jordan,Middle East,2006,0.55,28.3,4516,5.99,9.8,0,72.8
Zimbabwe,Africa,2009,2.77,23.6,941,12.53,7.2,0,48.4
Bhutan,Asia,2005,0.73,22.8,1489,0.65,2.3,0,65.3
Switzerland,Rest of Europe,2010,10.01,25.1,82027,7.82,13.3,1,82.2
South Africa,Africa,2006,7.3,26.6,5827,48.49,9,0,53.8
Jordan,Middle East,2012,0.36,28.7,4387,8.09,9.9,0,73.7
Eritrea,Africa,2012,1.03,20.6,699,3.28,3.9,0,63.2
Germany,European Union,2010,11.58,26.3,37761,81.78,13.8,1,80
Saudi Arabia,Middle East,2014,0,28.3,20328,30.92,9.5,0,74.5
Kiribati,Oceania,2004,0.49,29.1,1488,0.09,7.2,0,64.2
Seychelles,Africa,2011,7.83,26.3,13664,0.09,8.4,0,72.7
Madagascar,Africa,2012,0.85,21.1,465,22.35,6.1,0,64.3
Singapore,Asia,2014,1.84,23.6,54683,5.47,11.4,0,82.5
Togo,Africa,2008,1.44,22.9,456,6.08,4.3,0,56.2
Denmark,European Union,2009,10.08,25.3,50457,5.52,12.7,1,78.6
"Gambia, The",Africa,2015,2.69,23.9,661,2.09,3.4,0,60.9
Costa Rica,Central America and Caribbean,2014,3.12,27.2,11355,4.8,8.6,0,79.4
Belize,Central America and Caribbean,2010,6.47,28.4,4768,0.32,10.5,0,72.1
Sweden,European Union,2010,7.38,25.8,48370,9.38,12.3,1,81.5
Austria,European Union,2014,12.4,25.5,44245,8.55,12.1,1,81.5
Kyrgyz Republic,Asia,2012,5.98,26.1,994,5.61,10.7,0,70
Grenada,Central America and Caribbean,2013,7.81,26.7,8067,0.11,8.5,0,72.6
Brunei Darussalam,Asia,2010,0.25,26.4,33437,0.39,8.8,0,74.7
Greece,European Union,2009,8.32,27,22839,11.11,10.1,1,80.2
Norway,Rest of Europe,2010,6.59,26.4,72427,4.89,12.7,1,81
Uruguay,South America,2006,6.45,26.3,10575,3.33,8,0,76
Croatia,European Union,2006,10.98,26.2,11960,4.31,9.9,1,75.8
Romania,European Union,2008,12.38,25.8,8280,20.54,10.6,1,72.6
Central African Republic,Africa,2011,1.97,22.5,550,4.42,3.7,0,48
Algeria,Africa,2015,0.55,25.5,4178,39.73,7.9,0,76.1
"Yemen, Rep.",Middle East,2011,0.04,23.4,2311,23.81,2.8,0,65.8
Armenia,Rest of Europe,2009,3.97,26,2884,2.89,11.1,0,73.1
Zimbabwe,Africa,2004,2.48,23.4,1212,12.02,6.8,0,43.1
St. Vincent and the Grenadines,Central America and Caribbean,2003,5.47,25.8,6075,0.11,7.8,0,71.1
Kenya,Africa,2007,1.2,22.6,1287,38.71,6,0,57.5
"Micronesia, Fed. Sts.",Oceania,2003,3.16,28.9,3035,0.11,5.5,0,65.1
Antigua and Barbuda,Central America and Caribbean,2004,6.72,25.5,14400,0.08,9.1,0,74.8
Nepal,Asia,2007,0.2,21.4,643,26.38,3,0,66.3
Lithuania,European Union,2005,12.42,26.2,9766,3.32,11.8,1,71.3
Vanuatu,Oceania,2003,0.88,25.6,2519,0.2,6.5,0,68
Afghanistan,Asia,2000,0.02,21.7,148,20.78,2.2,0,55.8
Kuwait,Middle East,2011,0,29.1,33167,3.17,7,0,74.6
Kenya,Africa,2011,1.47,22.9,1357,43.18,6.2,0,61.9
Germany,European Union,2004,11.83,26,35034,82.52,12.9,1,78.7
Argentina,South America,2014,7.93,27.5,13568,42.67,9.8,0,75.9
Panama,Central America and Caribbean,2008,6,26.3,9894,3.52,9.2,0,76.4
Oman,Middle East,2015,0.45,26.3,18445,4.27,9.5,0,76.9
France,European Union,2014,12.07,25,36379,66.31,11.4,1,82.7
Bosnia and Herzegovina,Rest of Europe,2011,4.71,25.4,4185,3.66,7.2,0,76.2
Mauritania,Africa,2002,0.012,23.9,1234,2.78,3.1,0,60.9
Somalia,Africa,2008,0,22.7,265,11.4,2.1,0,53.3
Azerbaijan,Asia,2011,0.6,26.5,5153,9.17,10.7,0,71.2
Maldives,Asia,2007,1.51,24.1,8535,0.34,3.9,0,74.6
Armenia,Rest of Europe,2012,3.89,26.1,3313,2.88,11.3,0,73.8
Ghana,Africa,2009,1.26,23.5,1348,24.17,6.7,0,60.6
Somalia,Africa,2006,1e-04,22.5,237,10.76,2.1,0,52.7
Switzerland,Rest of Europe,2014,9.62,25.1,84348,8.19,13.4,1,83.2
Argentina,South America,2005,7.6,26.6,11192,38.89,9.1,0,74.5
Guinea-Bissau,Africa,2010,3.06,23,586,1.52,2.6,0,54.6
Solomon Islands,Oceania,2000,0.71,24.9,1939,0.41,4.6,0,67.4
"Congo, Dem. Rep.",Africa,2000,2.05,20.7,351,47.11,3.3,0,50
Namibia,Africa,2010,1.4,23.8,4147,2.12,6.2,0,56.7
Russian Federation,Rest of Europe,2004,11.5,25.9,6857,144.07,11.4,0,65.5
Japan,Asia,2003,7.82,22.5,31830,127.72,11,1,81.8
Mauritania,Africa,2004,0.014,24.1,1307,2.94,3.3,0,61.2
Eswatini,Africa,2007,6.34,26.1,3175,1.04,5.3,0,43.3
Nigeria,Africa,2011,4.99,23,2464,162.81,5.5,0,51.3
United Arab Emirates,Middle East,2002,1.6,27.3,56815,3.48,8.6,0,74.8
Burundi,Africa,2005,6.07,21,296,7.36,2.3,0,53.4
Tajikistan,Asia,2006,0.56,24.7,662,6.92,10.5,0,66.8
Honduras,Central America and Caribbean,2000,2.47,24.8,1790,6.57,4.3,0,70.7
Colombia,South America,2008,4.35,25.5,4992,44.25,7.3,0,75
"Gambia, The",Africa,2009,3.05,23.3,733,1.74,2.7,0,59.3
Madagascar,Africa,2015,0.86,21.3,467,24.23,6.1,0,65.5
Iceland,Rest of Europe,2003,6.52,25.7,43764,0.29,9.8,1,81
Morocco,Africa,2002,0.46,24.8,1905,29.45,3.6,0,69.8
Pakistan,Asia,2011,0.04,23.5,1246,183.34,4.8,0,65.6
Bolivia,South America,2009,3.64,25.7,2455,9.88,7.9,0,67.5
Cambodia,Asia,2006,1.18,21.2,760,13.48,3.6,0,63.9
Malaysia,Asia,2006,0.45,24.6,7531,26.2,8.2,0,73.7
Romania,European Union,2006,9.89,25.5,6846,21.19,10.3,1,72.2
Dominican Republic,Central America and Caribbean,2008,5.91,25.7,5410,9.46,7.2,0,71.6
Norway,Rest of Europe,2015,5.97,26.6,74356,5.19,12.5,1,82.3
Italy,European Union,2005,8.65,25.6,33258,57.97,9.2,1,80.8
Vietnam,Asia,2015,2.98,21.7,2582,92.68,8,0,75.1
Albania,Rest of Europe,2007,5.46,25.8,3045,2.97,9.2,0,75.6
Oman,Middle East,2013,0.44,26.1,19654,3.76,8.9,0,76.4
